iteration	timestamp	goldens	sims	tool_tests	callback_tests	status	message
1	2026-06-13T04:58:23	-	-	-	-	baseline	Initial evaluation run
2	2026-06-13T05:02:23	0/1	-	-	-	baseline	Negotiation and Closing evaluation run
